assigned_to,Mathematical,Shape(s) is closed,Labeled angles (if any) match drawn angle,Applicable - Labeled angles (if any) match drawn angle,Labeled lengths and areas (if any) match visual proportions,Applicable - Labeled lengths and areas (if any) match visual proportions,Core math properties of the shape(s) are correct,Spatial,Diagram is fully in frame,Diagram elements are scaled to be readable,Labels (if any) are associated with correct elements,Applicable - Labels (if any) are associated with correct elements,Diagram elements don't problematically overlap,prompt,subcategory,image,tikz,rating_source,diagram_id
Vishal,,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,No,"two rectangular prisms combined, bottom prism 4 by 2 by 2, top prism 2 by 2 by 3",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-C2Jt4Q2FvAJdgZKSM8BAdeqeiV8ZnW.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.16in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

% Bottom prism dimensions: 4 by 2 by 2
\def\bottomX{4}
\def\bottomY{2}
\def\bottomZ{2}

% Top prism dimensions: 2 by 2 by 3
\def\topX{2}
\def\topY{2}
\def\topZ{3}

% Bottom prism coordinates
\coordinate (bottomFrontBottomLeft) at (0,0,0);
\coordinate (bottomFrontBottomRight) at (\bottomX,0,0);
\coordinate (bottomFrontTopLeft) at (0,0,\bottomZ);
\coordinate (bottomFrontTopRight) at (\bottomX,0,\bottomZ);

\tikzstyle{toBackBottom}=[shift={(0,\bottomY,0)}]
\coordinate (bottomBackBottomLeft) at ([toBackBottom]bottomFrontBottomLeft);
\coordinate (bottomBackBottomRight) at ([toBackBottom]bottomFrontBottomRight);
\coordinate (bottomBackTopLeft) at ([toBackBottom]bottomFrontTopLeft);
\coordinate (bottomBackTopRight) at ([toBackBottom]bottomFrontTopRight);

% Top prism coordinates (positioned on top of bottom prism, centered)
\def\offsetX{1} % (4-2)/2 = 1 to center the top prism
\coordinate (topFrontBottomLeft) at (\offsetX,0,\bottomZ);
\coordinate (topFrontBottomRight) at (\offsetX + \topX,0,\bottomZ);
\coordinate (topFrontTopLeft) at (\offsetX,0,\bottomZ + \topZ);
\coordinate (topFrontTopRight) at (\offsetX + \topX,0,\bottomZ + \topZ);

\tikzstyle{toBackTop}=[shift={(0,\topY,0)}]
\coordinate (topBackBottomLeft) at ([toBackTop]topFrontBottomLeft);
\coordinate (topBackBottomRight) at ([toBackTop]topFrontBottomRight);
\coordinate (topBackTopLeft) at ([toBackTop]topFrontTopLeft);
\coordinate (topBackTopRight) at ([toBackTop]topFrontTopRight);

% Draw bottom prism - solid edges
\draw (bottomFrontBottomLeft) -- (bottomFrontBottomRight) -- (bottomFrontTopRight) -- (bottomFrontTopLeft) -- cycle;
\draw (bottomFrontBottomRight) -- (bottomBackBottomRight) -- (bottomBackTopRight) -- (bottomBackTopLeft) -- (bottomFrontTopLeft);
\draw (bottomFrontTopRight) -- (bottomBackTopRight);

% Draw bottom prism - dotted edges
\draw[dotted] (bottomFrontBottomLeft) -- (bottomBackBottomLeft) -- (bottomBackBottomRight);
\draw[dotted] (bottomBackBottomLeft) -- (bottomBackTopLeft);

% Draw top prism - solid edges
\draw (topFrontBottomLeft) -- (topFrontBottomRight) -- (topFrontTopRight) -- (topFrontTopLeft) -- cycle;
\draw (topFrontBottomRight) -- (topBackBottomRight) -- (topBackTopRight) -- (topBackTopLeft) -- (topFrontTopLeft);
\draw (topFrontTopRight) -- (topBackTopRight);

% Draw top prism - dotted edges
\draw[dotted] (topFrontBottomLeft) -- (topBackBottomLeft) -- (topBackBottomRight);
\draw[dotted] (topBackBottomLeft) -- (topBackTopLeft);

% Labels for bottom prism
\path (bottomFrontTopLeft)
   -- node[left, pos=0.5] {2}
      (bottomFrontBottomLeft)
   -- node[below left, pos=0.6] {4}
      (bottomFrontBottomRight)
   -- node[below right, pos=0.5] {2}
      (bottomBackBottomRight);

% Labels for top prism
\path (topFrontTopLeft)
   -- node[left, pos=0.5] {3}
      (topFrontBottomLeft);
      
\node[above] at ($(topFrontTopLeft)!0.5!(topFrontTopRight)$) {2};
\node[above right] at (topBackTopRight) {2};

\end{tikzpicture}
\end{document}",vishal,265
Rebecca,,Yes,No,N/A,No,,No,,Yes,Yes,Yes,,Yes,"rectangular prism, 4 by 3 by 2",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Qat2dVIbERCSEsKurTculxnQ9OS6PD.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in,z={(-.3,-.2)}]
\clip (-2,-1.5) rectangle (3,2);

% Define dimensions
\def\length{4}
\def\width{3} 
\def\height{2}

% Scale factor for better visibility
\begin{scope}[scale=0.4, xshift=1in, yshift=0.5in]

% Draw the rectangular prism
% Front face (visible)
\draw[line width=1pt, fill=lightgray!30] (0,0,0) -- (\length,0,0) -- (\length,\height,0) -- (0,\height,0) -- cycle;

% Top face (visible)
\draw[line width=1pt, fill=lightgray!50] (0,\height,0) -- (0,\height,\width) -- (\length,\height,\width) -- (\length,\height,0) -- cycle;

% Right face (visible)
\draw[line width=1pt, fill=lightgray!20] (\length,0,0) -- (\length,\height,0) -- (\length,\height,\width) -- (\length,0,\width) -- cycle;

% Hidden edges (dotted)
\draw[dotted, line width=1pt] (0,0,0) -- (0,0,\width);
\draw[dotted, line width=1pt] (0,0,\width) -- (0,\height,\width);
\draw[dotted, line width=1pt] (0,0,\width) -- (\length,0,\width);

% Dimension labels
\node[below] at (\length/2,0,0) {4};
\node[left] at (0,\height/2,0) {2};
\node[below right] at (\length,0,\width/2) {3};

\end{scope}

\end{tikzpicture}
\end{document}",rebecca,266
Shubhra,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"rectangular prism made of unit cubes, 3 by 3 by 3",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-C5UqNrYPnRRzurbUCNOjKEab1CkOUP.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2,-\QP/2) rectangle (\QP/2,\QP/2);
\def\xchange{-1}
\def\ychange{-1}
\foreach \x/\y/\z in {
0/0/0,
0/0/1,
0/0/2,
0/1/0,
0/1/1,
0/1/2,
0/2/0,
0/2/1,
0/2/2,
1/0/0,
1/0/1,
1/0/2,
1/1/0,
1/1/1,
1/1/2,
1/2/0,
1/2/1,
1/2/2,
2/0/0,
2/0/1,
2/0/2,
2/1/0,
2/1/1,
2/1/2,
2/2/0,
2/2/1,
2/2/2
}{\Ucube{\x}{\y}{\z}{\xchange}{\ychange};}
\end{tikzpicture}

\end{document}",shubhra,267
Shubhra,,Yes,No,N/A,No,N/A,No,,Yes,Yes,No,N/A,No,"unit cubes arranged: horizontal rectangular prism 8 cubes long by 2 cubes wide by 2 cubes high, additional rectangular prism 2 cubes long by 2 cubes wide by 2 cubes high attached underneath at position 2-4 from left",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-O8UCSiY8jFo8lAGOPjyZpormAK4aBz.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}
\newcommand\Outline[5]{
\begin{scope}[scale=.25,xshift=#4 in ,yshift=#5 in]
\draw[very thick,rounded corners=.1mm] (0,0,#3)--(#1,0,#3)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (0,#2,0)--(#1,#2,0)--(#1,#2,#3)--(0,#2,#3)--cycle;
\draw[very thick,rounded corners=.1mm] (#1,0,0)--(#1,#2,0)--(#1,#2,#3)--(#1,0,#3)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2,-\QP/2) rectangle (\QP/2,\QP/2);
\def\xchange{-4}
\def\ychange{-1}

% Main horizontal rectangular prism: 8 cubes long by 2 cubes wide by 2 cubes high
\foreach \x in {0,...,7}{
\foreach \y in {0,...,1}{
\foreach \z in {0,...,1}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

% Additional rectangular prism: 2 cubes long by 2 cubes wide by 2 cubes high
% Attached underneath at position 2-4 from left (x coordinates 2 and 3)
\foreach \x in {2,3}{
\foreach \y in {0,...,1}{
\foreach \z in {-2,...,-1}{
\Ucube{\x}{\y}{\z}{\xchange}{\ychange};
}}}

% Outline for main prism
\Outline{8}{2}{2}{\xchange}{\ychange};

% Outline for additional prism
\begin{scope}[scale=.25,xshift=\xchange in ,yshift=\ychange in]
\draw[very thick,rounded corners=.1mm] (2,0,-2)--(4,0,-2)--(4,2,-2)--(2,2,-2)--cycle;
\draw[very thick,rounded corners=.1mm] (2,2,-2)--(4,2,-2)--(4,2,0)--(2,2,0)--cycle;
\draw[very thick,rounded corners=.1mm] (4,0,-2)--(4,2,-2)--(4,2,0)--(4,0,0)--cycle;
\end{scope}

\end{tikzpicture}
\end{document}",shubhra,268
Shubhra,,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangular prism, 3 x 3 x 2",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-89YiRrDApiuHqdnsST80Kjlj2PGuTB.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.16in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

\def\dimX{3} % Dim in the x-dir
\def\dimY{3} % Dim in the y-dir
\def\dimZ{2} % Dim in the z-dir

\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Solid edges
\draw (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw (frontTopRight) -- (backTopRight);

% dotted edges
\draw[dotted] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted] (backBottomLeft) -- (backTopLeft);

% labels
\path (frontTopLeft)
   -- node[left, pos=0.5] {2}
      (frontBottomLeft)
   -- node[below left, pos=0.6] {3}
      (frontBottomRight)
   -- node[below right, pos=0.5] {3}
      (backBottomRight);

\end{tikzpicture}
\end{document}",shubhra,269
Rebecca,,Yes,No,N/A,No,,Yes,,No,Yes,Yes,,Yes,"rectangular prism, 1 x 6 x 2",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SnL5Y4g0jk3p46mQFBWj4uj2bs1wBs.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in,z={(-.3,-.1)}]
\clip (-\THP/2,-2) rectangle (\THP/2,2);
\begin{scope}[xshift=-.5in,yshift=-.5in,scale=.4]

\begin{scope}[xscale=1]
    \draw (3,-.5,0) node{6 cm};
    \draw (7.2,0.5,-1) node{1 cm};
    \draw (7.5,1,-2) node{2 cm};
    \draw[line join=round,fill=LBlue,line width=.5pt] (6,0,0) rectangle (0,2,0);
    \draw[line join=round,fill=black!50,line width=.5pt] (0,2,0) -- (0,2,-1) -- (6,2,-1) -- (6,2,0) -- cycle;
    \draw[line join=round,fill=LBlue,line width=.5pt] (6,0,0) -- (6,2,0) -- (6,2,-1) -- (6,0,-1) -- cycle;
\end{scope}

\end{scope}
\end{tikzpicture}

\end{document}",rebecca,270
Shubhra,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,No,"rectangular prisms, base 4x3x1 with two towers on top, left tower 2x2x4, right tower 1x2x3",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-E7wH4VHXzg0onkLIRm8lACCn8WB2D9.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.12in}

\begin{tikzpicture}[x=(-5:0.76*\unitLength), y={(32:1.1*\unitLength)}, z=(90:\unitLength)]

% Base dimensions (4x3x1)
\def\baseX{4}
\def\baseY{3}
\def\baseZ{1}

% Left tower dimensions (2x2x4)
\def\leftTowerX{2}
\def\leftTowerY{2}
\def\leftTowerZ{4}

% Right tower dimensions (1x2x3)
\def\rightTowerX{1}
\def\rightTowerY{2}
\def\rightTowerZ{3}

% Base coordinates
\coordinate (baseFrontBottomLeft) at (0,0,0);
\coordinate (baseFrontBottomRight) at (\baseX,0,0);
\coordinate (baseFrontTopLeft) at (0,0,\baseZ);
\coordinate (baseFrontTopRight) at (\baseX,0,\baseZ);

\tikzstyle{baseToBack}=[shift={(0,\baseY,0)}]
\coordinate (baseBackBottomLeft) at ([baseToBack]baseFrontBottomLeft);
\coordinate (baseBackBottomRight) at ([baseToBack]baseFrontBottomRight);
\coordinate (baseBackTopLeft) at ([baseToBack]baseFrontTopLeft);
\coordinate (baseBackTopRight) at ([baseToBack]baseFrontTopRight);

% Draw base
\draw[thick] (baseFrontBottomLeft) -- (baseFrontBottomRight) -- (baseFrontTopRight) -- (baseFrontTopLeft) -- cycle;
\draw[thick] (baseFrontBottomRight) -- (baseBackBottomRight) -- (baseBackTopRight) -- (baseBackTopLeft) -- (baseFrontTopLeft);
\draw[thick] (baseFrontTopRight) -- (baseBackTopRight);
\draw[dotted] (baseFrontBottomLeft) -- (baseBackBottomLeft) -- (baseBackBottomRight);
\draw[dotted] (baseBackBottomLeft) -- (baseBackTopLeft);

% Left tower coordinates (positioned at left side of base)
\coordinate (leftTowerFrontBottomLeft) at (0,0,\baseZ);
\coordinate (leftTowerFrontBottomRight) at (\leftTowerX,0,\baseZ);
\coordinate (leftTowerFrontTopLeft) at (0,0,\baseZ+\leftTowerZ);
\coordinate (leftTowerFrontTopRight) at (\leftTowerX,0,\baseZ+\leftTowerZ);

\tikzstyle{leftTowerToBack}=[shift={(0,\leftTowerY,0)}]
\coordinate (leftTowerBackBottomLeft) at ([leftTowerToBack]leftTowerFrontBottomLeft);
\coordinate (leftTowerBackBottomRight) at ([leftTowerToBack]leftTowerFrontBottomRight);
\coordinate (leftTowerBackTopLeft) at ([leftTowerToBack]leftTowerFrontTopLeft);
\coordinate (leftTowerBackTopRight) at ([leftTowerToBack]leftTowerFrontTopRight);

% Draw left tower
\draw[thick] (leftTowerFrontBottomLeft) -- (leftTowerFrontBottomRight) -- (leftTowerFrontTopRight) -- (leftTowerFrontTopLeft) -- cycle;
\draw[thick] (leftTowerFrontBottomRight) -- (leftTowerBackBottomRight) -- (leftTowerBackTopRight) -- (leftTowerBackTopLeft) -- (leftTowerFrontTopLeft);
\draw[thick] (leftTowerFrontTopRight) -- (leftTowerBackTopRight);
\draw[thick] (leftTowerFrontBottomLeft) -- (leftTowerBackBottomLeft) -- (leftTowerBackBottomRight);
\draw[thick] (leftTowerBackBottomLeft) -- (leftTowerBackTopLeft);

% Right tower coordinates (positioned at right side of base)
\coordinate (rightTowerFrontBottomLeft) at (3,0,\baseZ);
\coordinate (rightTowerFrontBottomRight) at (3+\rightTowerX,0,\baseZ);
\coordinate (rightTowerFrontTopLeft) at (3,0,\baseZ+\rightTowerZ);
\coordinate (rightTowerFrontTopRight) at (3+\rightTowerX,0,\baseZ+\rightTowerZ);

\tikzstyle{rightTowerToBack}=[shift={(0,\rightTowerY,0)}]
\coordinate (rightTowerBackBottomLeft) at ([rightTowerToBack]rightTowerFrontBottomLeft);
\coordinate (rightTowerBackBottomRight) at ([rightTowerToBack]rightTowerFrontBottomRight);
\coordinate (rightTowerBackTopLeft) at ([rightTowerToBack]rightTowerFrontTopLeft);
\coordinate (rightTowerBackTopRight) at ([rightTowerToBack]rightTowerFrontTopRight);

% Draw right tower
\draw[thick] (rightTowerFrontBottomLeft) -- (rightTowerFrontBottomRight) -- (rightTowerFrontTopRight) -- (rightTowerFrontTopLeft) -- cycle;
\draw[thick] (rightTowerFrontBottomRight) -- (rightTowerBackBottomRight) -- (rightTowerBackTopRight) -- (rightTowerBackTopLeft) -- (rightTowerFrontTopLeft);
\draw[thick] (rightTowerFrontTopRight) -- (rightTowerBackTopRight);
\draw[thick] (rightTowerFrontBottomLeft) -- (rightTowerBackBottomLeft) -- (rightTowerBackBottomRight);
\draw[thick] (rightTowerBackBottomLeft) -- (rightTowerBackTopLeft);

\end{tikzpicture}
\end{document}",shubhra,271
Vishal,,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,Yes,"rectangular prism base, 200 square inches area, height 6 inches",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-cHpxKOwFnpNhw8FP6mvdEUbYFvX1QK.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=(-5:0.16in), y={(32:0.22in)}, z=(90:0.16in)]

% Define dimensions - base area is 200 sq in, height is 6 in
% We'll use 20 x 10 for the base to get 200 square inches
\def\dimX{20} % Length
\def\dimY{10} % Width  
\def\dimZ{6}  % Height

% Define the front face vertices
\coordinate (frontBottomLeft) at (0,0,0);
\coordinate (frontBottomRight) at (\dimX,0,0);
\coordinate (frontTopLeft) at (0,0,\dimZ);
\coordinate (frontTopRight) at (\dimX,0,\dimZ);

% Define the back face vertices
\tikzstyle{toBack}=[shift={(0,\dimY,0)}]
\coordinate (backBottomLeft) at ([toBack]frontBottomLeft);
\coordinate (backBottomRight) at ([toBack]frontBottomRight);
\coordinate (backTopLeft) at ([toBack]frontTopLeft);
\coordinate (backTopRight) at ([toBack]frontTopRight);

% Draw solid edges (visible edges)
\draw[thick] (frontBottomLeft) -- (frontBottomRight) -- (frontTopRight) -- (frontTopLeft) -- cycle;
\draw[thick] (frontBottomRight) -- (backBottomRight) -- (backTopRight) -- (backTopLeft) -- (frontTopLeft);
\draw[thick] (frontTopRight) -- (backTopRight);

% Draw dotted edges (hidden edges)
\draw[dotted, thick] (frontBottomLeft) -- (backBottomLeft) -- (backBottomRight);
\draw[dotted, thick] (backBottomLeft) -- (backTopLeft);

% Add dimension labels
\path (frontTopLeft) -- node[left, pos=0.5] {6 in} (frontBottomLeft);
\path (frontBottomLeft) -- node[below left, pos=0.5] {20 in} (frontBottomRight);
\path (frontBottomRight) -- node[below right, pos=0.5] {10 in} (backBottomRight);

% Add base area label
\node[above, yshift=0.3in] at ($(frontBottomLeft)!0.5!(backBottomRight)$) {Base Area = 200 sq in};

\end{tikzpicture}
\end{document}",vishal,272
Rebecca,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,"rectangular prism rotated on its side, 2 vertical layers side by side, each layer has 6 unit cubes arranged in 2x3 pattern",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-xrtuhMOe5FlT0tyPsIWIEEFLqiD257.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.25,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.4)]
\clip (-\QP/2,-\QP/2) rectangle (\QP/2,\QP/2);
\def\xchange{-1.5}
\def\ychange{-1.5}

% First layer (2x3 arrangement)
\foreach \x/\y/\z in {
0/0/0,
1/0/0,
0/1/0,
1/1/0,
0/2/0,
1/2/0
}{\Ucube{\x}{\y}{\z}{\xchange}{\ychange};}

% Second layer (2x3 arrangement)
\foreach \x/\y/\z in {
2/0/0,
3/0/0,
2/1/0,
3/1/0,
2/2/0,
3/2/0
}{\Ucube{\x}{\y}{\z}{\xchange}{\ychange};}

\end{tikzpicture}

\end{document}",rebecca,273
Shubhra,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,No,"rectangular prism made of unit cubes, 3 layers, 20 cubes per layer, with perimeter of base outlined",rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YTpHJnr3xIYnZTLmVX1Lf9OPbyka0k.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\newcommand\Ucube[5]{
\begin{scope}[scale=.15,shift={(#1,#2,#3)},xshift=#4 in ,yshift=#5 in]
\draw[rounded corners=.1mm,fill=LBlue] (0,0,1)--(1,0,1)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (0,1,0)--(1,1,0)--(1,1,1)--(0,1,1)--cycle;
\draw[rounded corners=.1mm,fill=LBlue] (1,0,0)--(1,1,0)--(1,1,1)--(1,0,1)--cycle;
\end{scope}
}

\newcommand\BaseOutline[5]{
\begin{scope}[scale=.15,xshift=#4 in ,yshift=#5 in]
\draw[very thick, red] (0,0,0)--(#1,0,0)--(#1,#2,0)--(0,#2,0)--cycle;
\end{scope}
}

\begin{tikzpicture}[x=1in, y=1in, z=(45:-.3)]
\clip (-2,-1.5) rectangle (2,1.5);

\def\xchange{0}
\def\ychange{0}

% Layer 1 (bottom) - 4x5 arrangement = 20 cubes
\foreach \x in {0,1,2,3} {
  \foreach \y in {0,1,2,3,4} {
    \Ucube{\x}{\y}{0}{\xchange}{\ychange};
  }
}

% Layer 2 (middle) - 4x5 arrangement = 20 cubes
\foreach \x in {0,1,2,3} {
  \foreach \y in {0,1,2,3,4} {
    \Ucube{\x}{\y}{1}{\xchange}{\ychange};
  }
}

% Layer 3 (top) - 4x5 arrangement = 20 cubes
\foreach \x in {0,1,2,3} {
  \foreach \y in {0,1,2,3,4} {
    \Ucube{\x}{\y}{2}{\xchange}{\ychange};
  }
}

% Base perimeter outline
\BaseOutline{4}{5}{0}{\xchange}{\ychange};

\end{tikzpicture}

\end{document}",shubhra,274
Rebecca,,Yes,No,N/A,Yes,,No,,Yes,Yes,Yes,,Yes,coordinate plane showing rectangular prism dimensions as ordered pairs,rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QyiS4oPAAbBnaHdvMuwJiG8La2BafW.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[FirstQuadrantLabeled,width=\HalfPage,height=\HalfPage,xmin=0,xmax=8,ymin=0,ymax=6,xlabel={length},ylabel={width},xlabel style={yshift=-8pt},ylabel style={xshift=-8pt},xtick={0,1,2,3,4,5,6,7,8},ytick={0,1,2,3,4,5,6},grid=both]

% Draw rectangular prism base
\draw[thick, Blue] (2,1) rectangle (6,4);

% Mark and label vertices with coordinates
\node[bigvertex] at (2,1) {};
\node[below left=2pt, fill=white, draw=black, thick, inner sep=1.5pt] at (2,1) {$(2,1,0)$};

\node[bigvertex] at (6,1) {};
\node[below right=2pt, fill=white, draw=black, thick, inner sep=1.5pt] at (6,1) {$(6,1,0)$};

\node[bigvertex] at (2,4) {};
\node[above left=2pt, fill=white, draw=black, thick, inner sep=1.5pt] at (2,4) {$(2,4,0)$};

\node[bigvertex] at (6,4) {};
\node[above right=2pt, fill=white, draw=black, thick, inner sep=1.5pt] at (6,4) {$(6,4,0)$};

% Draw edges going back (representing height dimension)
\draw[thick, Blue] (2,1) -- (2.5,1.5);
\draw[thick, Blue] (6,1) -- (6.5,1.5);
\draw[thick, Blue] (2,4) -- (2.5,4.5);
\draw[thick, Blue] (6,4) -- (6.5,4.5);

% Draw back face
\draw[thick, Blue] (2.5,1.5) rectangle (6.5,4.5);

% Mark and label back vertices
\node[bigvertex] at (2.5,1.5) {};
\node[below left=2pt, fill=white, draw=black, thick, inner sep=1.5pt] at (2.5,1.5) {$(2,1,3)$};

\node[bigvertex] at (6.5,1.5) {};
\node[below right=2pt, fill=white, draw=black, thick, inner sep=1.5pt] at (6.5,1.5) {$(6,1,3)$};

\node[bigvertex] at (2.5,4.5) {};
\node[above left=2pt, fill=white, draw=black, thick, inner sep=1.5pt] at (2.5,4.5) {$(2,4,3)$};

\node[bigvertex] at (6.5,4.5) {};
\node[above right=2pt, fill=white, draw=black, thick, inner sep=1.5pt] at (6.5,4.5) {$(6,4,3)$};

\end{axis}
\end{tikzpicture}
\end{document}",rebecca,275
